name,sku,price,payment_object,vat_type,tax_identity
Кондиционер ROYAL CLIMA VISTA RC-VT71HN,RC_VISTA71,49390,commodity,vat20,2466276880
Кондиционер ROYAL CLIMA VELA GRANDE RC-VG36HN,RC_VELA_GR36,74790,commodity,vat20,2466276880
Кондиционер ROYAL CLIMA SPARTA FULL DC EU Inverter RCI-SA30HN,RC_SPARTA30,31090,commodity,vat20,2466276880
Кондиционер ROYAL CLIMA SPARTA FULL DC EU Inverter RCI-SA40HN,RC_SPARTA40,33390,commodity,vat20,2466276880
Кондиционер ROYAL CLIMA PRESTIGIO FULL DC EU Inverter RCI-P32HN,RC_PRESTIGIO_INV32,29090,commodity,vat20,2466276880
Кондиционер ROYAL CLIMA PRESTIGIO FULL DC EU Inverter RCI-P41HN,RC_PRESTIGIO_INV41,31390,commodity,vat20,2466276880
Кондиционер ROYAL CLIMA PRESTIGIO FULL DC EU Inverter RCI-P61HN,RC_PRESTIGIO_INV61,50790,commodity,vat20,2466276880
Кондиционер ROYAL CLIMA PRESTIGIO FULL DC EU Inverter RCI-P81HN,RC_PRESTIGIO_INV81,63790,commodity,vat20,2466276880
Кондиционер ROYAL CLIMA TRIUMPH Inverter RCI-T26HN,RC_TRIUMPH_INV26,24190,commodity,vat20,2466276880
Кондиционер ROYAL CLIMA TRIUMPH Inverter RCI-T30HN,RC_TRIUMPH_INV30,25290,commodity,vat20,2466276880
Кондиционер ROYAL CLIMA TRIUMPH Inverter RCI-T38HN,RC_TRIUMPH_INV38,28290,commodity,vat20,2466276880
Кондиционер ROYAL CLIMA TRIUMPH Inverter RCI-T60HN,RC_TRIUMPH_INV60,48590,commodity,vat20,2466276880
Кондиционер ROYAL CLIMA TRIUMPH Inverter RCI-T78HN,RC_TRIUMPH_INV78,58690,commodity,vat20,2466276880
Кондиционер ROYAL CLIMA TRIUMPH GOLD Inverter RCI-TG26HN,RC_TRIUMPH_G_INV26,24190,commodity,vat20,2466276880
Кондиционер ROYAL CLIMA TRIUMPH GOLD Inverter RCI-TG30HN,RC_TRIUMPH_G_INV30,25290,commodity,vat20,2466276880
Кондиционер ROYAL CLIMA TRIUMPH GOLD Inverter RCI-TG38HN,RC_TRIUMPH_G_INV38,28290,commodity,vat20,2466276880
Кондиционер ROYAL CLIMA VELA Inverter RCI-VR22HN,RC_VELA_INV22,26990,commodity,vat20,2466276880
Кондиционер ROYAL CLIMA VELA Inverter RCI-VR29HN,RC_VELA_INV29,28190,commodity,vat20,2466276880
Кондиционер ROYAL CLIMA VELA Inverter RCI-VR37HN,RC_VELA_INV37,31590,commodity,vat20,2466276880
Кондиционер ROYAL CLIMA VELA Inverter RCI-VR57HN,RC_VELA_INV57,54690,commodity,vat20,2466276880
Кондиционер ROYAL CLIMA VELA Inverter RCI-VR78HN,RC_VELA_INV78,65890,commodity,vat20,2466276880
Кондиционер Axioma ASX07B1/ASB07B1,ASX_B07,14900,commodity,vat20,2466276880
Кондиционер Axioma ASX09B1/ASB09B1,ASX_B09,16200,commodity,vat20,2466276880
Кондиционер Axioma ASX12B1/ASB12B1,ASX_B12,21500,commodity,vat20,2466276880
Кондиционер Daikin Emura FTXJ20MS/RXJ20M,FTXJ20MS,119100,commodity,vat20,2466276880
Кондиционер Daikin Emura FTXJ25MS/RXJ25M,FTXJ25MS,125700,commodity,vat20,2466276880
Кондиционер Daikin Emura FTXJ35MS/RXJ35M,FTXJ35MS,145200,commodity,vat20,2466276880
Кондиционер Daikin Emura FTXJ50MS/RXJ50M,FTXJ50MS,240400,commodity,vat20,2466276880
Кондиционер Daikin Emura FTXJ20MW/RXJ20M,FTXJ20MW,111900,commodity,vat20,2466276880
Кондиционер Daikin Emura FTXJ25MW/RXJ25M,FTXJ25MW,118100,commodity,vat20,2466276880
Кондиционер Daikin Emura FTXJ35MW/RXJ35M,FTXJ35MW,136300,commodity,vat20,2466276880
Кондиционер Daikin Emura FTXJ50MW/RXJ50M,FTXJ50MW,223900,commodity,vat20,2466276880
Кондиционер Daikin Sensira FTXB20C/ RXB20C,FTXB20,42700,commodity,vat20,2466276880
Кондиционер Daikin Sensira FTXB25C/ RXB25C,FTXB25,44100,commodity,vat20,2466276880
Кондиционер Daikin Sensira FTXB35C/ RXB35C,FTXB35,45800,commodity,vat20,2466276880
Кондиционер Daikin Sensira FTXB50C/ RXB50C,FTXB55,70300,commodity,vat20,2466276880
Кондиционер Daikin Sensira FTXB60C/ RXB60C,FTXB65,73000,commodity,vat20,2466276880
Кондиционер Daikin FTYN20L/RYN20L,FTYN20,37210,commodity,vat20,2466276880
Кондиционер Daikin FTYN25L/RYN25L,FTYN25,38310,commodity,vat20,2466276880
Кондиционер Daikin FTYN35L/RYN35L,FTYN35,40360,commodity,vat20,2466276880
Кондиционер Daikin FTYN50L/RYN50L,FTYN50,57530,commodity,vat20,2466276880
Кондиционер Daikin FTYN50L/RYN50L,FTYN60,66250,commodity,vat20,2466276880
Кондиционер Daikin (до -40С) FTYN20L/RYN20L/-40,FTYN2040,44510,commodity,vat20,2466276880
Кондиционер Daikin (до -40С) FTYN25L/RYN25L/-40,FTYN2540,45610,commodity,vat20,2466276880
