item_id,name,sku,size,price
4055339444250,Шорты  муж.,AB6421,54,2390
4055339444212,Шорты  муж.,AB6421,58,2390
4055339689569,Шорты  муж.,AB7081,46,2390
4055339689606,Шорты  муж.,AB7081,50,2390
4055339689637,Шорты  муж.,AB7081,54,2390
4055339689675,Шорты  муж.,AB7081,58,2390
4055017182252,Костюм спортивный муж.,AB7482,48,5690
4055017178750,Костюм спортивный муж.,AB7482,52,5690
4055339031818,#CБрюки-чиносы муж.,AB7979,4232,5390
4055339031894,#CБрюки-чиносы муж.,AB7979,4332,5390
4055339031917,#CБрюки-чиносы муж.,AB7979,4334,5390
4055339027620,#CБрюки-чиносы муж.,AB7979,4432,5390
4055339027644,#CБрюки-чиносы муж.,AB7979,4434,5390
4055339027675,#CБрюки-чиносы муж.,AB7979,4532,5390
4055339027682,#CБрюки-чиносы муж.,AB7979,4534,5390
4055339059690,Толстовка худи муж.,AB8291,42,4690
4055339059768,Толстовка худи муж.,AB8291,46,4690
4055339059676,Толстовка худи муж.,AB8291,50,4690
4055339059744,Толстовка худи муж.,AB8291,54,4690
4055339059775,Толстовка худи муж.,AB8291,58,4690
4055339978755,Поло муж.,AB8294,42,3390
4055339976782,Поло муж.,AB8294,46,3390
4055339976843,Поло муж.,AB8294,50,3390
4055339978748,Поло муж.,AB8294,54,3390
4055339377336,Олимпийка муж.,AB9717,46,4690
4055339377374,Олимпийка муж.,AB9717,50,4690
4055339377312,Олимпийка муж.,AB9717,54,4690
4055015299853,Игровая футболка муж.,AC1414,42,4690
4055015003955,Игровая футболка муж.,AC1414,46,4690
4055015003986,Игровая футболка муж.,AC1414,50,4690
4055015004013,Игровая футболка муж.,AC1414,54,4690
4055015299891,Игровая футболка муж.,AC1414,58,4690
4055015081489,Игровые шорты муж.,AC1420,42,2390
4055015081465,Игровые шорты муж.,AC1420,46,2390
4055015081533,Игровые шорты муж.,AC1420,50,2390
4055015081472,Игровые шорты муж.,AC1420,54,2390
4055017388289,Джемпер муж.,AC1513,42,4390
4055017389002,Джемпер муж.,AC1513,46,4390
4055017388968,Джемпер муж.,AC1513,50,4390
4055017377900,Брюки муж.,AC1515,42,3990
4055017378020,Брюки муж.,AC1515,46,3990
4055017378990,Брюки муж.,AC1515,50,3990
4055017326809,#CФутболка жен.,AC3269,38,1990
4055017326847,#CФутболка жен.,AC3269,40,1990
